2.7645	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	356	Hyphomicrobiales	family	255475	Aurantimonadaceae	genus	414371	Aureimonas	species	1701758	Aureimonas populi
2.5682	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85007	Mycobacteriales	family	1653	Corynebacteriaceae	genus	1716	Corynebacterium	species	89154	Corynebacterium terpenotabidum
2.5658	superkingdom	2	Bacteria	phylum	29547	Campylobacterota	class	3031852	Epsilonproteobacteria	order	213849	Campylobacterales	family	2808963	Arcobacteraceae	genus	28196	Arcobacter	species	1849015	Arcobacter acticola
2.4544	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85007	Mycobacteriales	family	1762	Mycobacteriaceae	genus	1866885	Mycolicibacterium	species	1534348	Mycolicibacterium sarraceniae
2.4533	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	32003	Nitrosomonadales	family	90627	Gallionellaceae	genus	2943286	Sideroxyarcus	species	2764705	Sideroxyarcus emersonii
2.3980	superkingdom	2	Bacteria	phylum	200795	Chloroflexota	class	292625	Anaerolineae	order	292629	Anaerolineales	family	292628	Anaerolineaceae	genus	2019482	Brevefilum	species	1986204	Brevefilum fermentans
2.2547	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	117743	Flavobacteriia	order	200644	Flavobacteriales	family	2762318	Weeksellaceae	genus	59732	Chryseobacterium	species	1493872	Chryseobacterium shandongense
2.2387	superkingdom	2	Bacteria	phylum	29547	Campylobacterota	class	3031852	Epsilonproteobacteria	order	213849	Campylobacterales	family	2808963	Arcobacteraceae	genus	2321187	Poseidonibacter	species	1850254	Poseidonibacter parvus
2.2188	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85006	Micrococcales	family	85023	Microbacteriaceae	genus	33877	Agromyces	species	2509455	Agromyces protaetiae
2.2112	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85009	Propionibacteriales	family	31957	Propionibacteriaceae	genus	72763	Tessaracoccus	species	2161816	Tessaracoccus timonensis
2.2087	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	356	Hyphomicrobiales	family	2831090	Blastochloridaceae	genus	59282	Blastochloris	species	1079	Blastochloris viridis
2.1879	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	84998	Coriobacteriia	order	1643822	Eggerthellales	family	1643826	Eggerthellaceae	genus	84108	Slackia	species	84110	Slackia heliotrinireducens
2.1673	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	356	Hyphomicrobiales	family	335928	Xanthobacteraceae	genus	99	Ancylobacter	species	1745854	Ancylobacter pratisalsi
2.0398	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85007	Mycobacteriales	family	85026	Gordoniaceae	genus	2053	Gordonia	species	2831662	Gordonia pseudamarae
2.0135	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85004	Bifidobacteriales	family	31953	Bifidobacteriaceae	genus	2701	Gardnerella	species	2792978	Gardnerella leopoldii
2.0124	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85006	Micrococcales	family	85023	Microbacteriaceae	genus	2680004	Protaetiibacter	species	2592654	Protaetiibacter larvae
1.9943	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	356	Hyphomicrobiales	family	2831106	Devosiaceae	genus	46913	Devosia	species	400770	Devosia ginsengisoli
1.9477	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	356	Hyphomicrobiales	family	335928	Xanthobacteraceae	genus	556257	Pseudolabrys	species	331696	Pseudolabrys taiwanensis
1.8868	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	135614	Xanthomonadales	family	1775411	Rhodanobacteraceae	genus	70411	Frateuria	species	81475	Frateuria aurantia
1.8391	superkingdom	2	Bacteria	phylum	200940	Thermodesulfobacteriota	class	3031451	Desulfobulbia	order	3024411	Desulfobulbales	family	213121	Desulfobulbaceae	genus	893	Desulfobulbus	species	894	Desulfobulbus propionicus
1.8220	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	135614	Xanthomonadales	family	32033	Xanthomonadaceae	genus	68	Lysobacter	species	2822368	Lysobacter luteus
1.8189	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204457	Sphingomonadales	family	335929	Erythrobacteraceae	genus	1855416	Qipengyuania	species	266951	Qipengyuania seohaensis
1.7780	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204457	Sphingomonadales	family	41297	Sphingomonadaceae	genus	13687	Sphingomonas	species	2599297	Sphingomonas suaedae
1.6868	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	80864	Comamonadaceae	genus	3051138	Paenacidovorax	species	1926868	Paenacidovorax monticola
1.6864	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85006	Micrococcales	family	85023	Microbacteriaceae	genus	55968	Leucobacter	species	683042	Leucobacter denitrificans
1.6836	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	Rhizobacter - no_f_rank	Rhizobacter - no_f_rank	genus	212743	Rhizobacter	species	946333	Rhizobacter gummiphilus
1.6822	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	1643684	Nakamurellales	family	85031	Nakamurellaceae	genus	53460	Nakamurella	species	53461	Nakamurella multipartita
1.6383	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85006	Micrococcales	family	85016	Cellulomonadaceae	genus	1707	Cellulomonas	species	11	Cellulomonas gilvus
1.5978	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85006	Micrococcales	family	2805590	Ornithinimicrobiaceae	genus	125287	Ornithinimicrobium	species	1288636	Ornithinimicrobium flavum
1.5342	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	356	Hyphomicrobiales	family	31993	Methylocystaceae	genus	2041902	Chenggangzhangella	species	1437009	Chenggangzhangella methanolivorans
1.5269	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	80864	Comamonadaceae	genus	1649468	Melaminivora	species	2109913	Melaminivora suipulveris
1.4206	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	768503	Cytophagia	order	768507	Cytophagales	family	563798	Cyclobacteriaceae	genus	1511649	Mongoliitalea	species	2782006	Mongoliitalea daihaiensis
1.3950	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85009	Propionibacteriales	family	85015	Nocardioidaceae	genus	1839	Nocardioides	species	449461	Nocardioides humi
1.3114	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	80864	Comamonadaceae	genus	219181	Ottowia	species	2816950	Ottowia testudinis
1.3044	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85009	Propionibacteriales	family	85015	Nocardioidaceae	genus	1839	Nocardioides	species	402297	Nocardioides daphniae
1.3000	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85009	Propionibacteriales	family	31957	Propionibacteriaceae	genus	72763	Tessaracoccus	species	2829499	Tessaracoccus palaemonis
1.2682	superkingdom	2	Bacteria	phylum	200940	Thermodesulfobacteriota	class	3024418	Desulfobacteria	order	213118	Desulfobacterales	family	3031624	Desulfosarcinaceae	genus	2299	Desulfosarcina	species	947919	Desulfosarcina widdelii
1.2331	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	206389	Rhodocyclales	family	2008794	Zoogloeaceae	genus	2891324	Pseudothauera	species	2184083	Pseudothauera hydrothermalis
1.2238	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	72274	Pseudomonadales	family	135621	Pseudomonadaceae	genus	286	Pseudomonas	species	2842357	Pseudomonas muyukensis
1.2160	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85014	Glycomycetales	family	85034	Glycomycetaceae	genus	283810	Stackebrandtia	species	283811	Stackebrandtia nassauensis
1.2011	superkingdom	2	Bacteria	phylum	200940	Thermodesulfobacteriota	class	3031651	Desulfuromonadia	order	3031668	Geobacterales	family	213422	Geobacteraceae	genus	28231	Geobacter	species	35554	Geobacter sulfurreducens
1.1795	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	72274	Pseudomonadales	family	135621	Pseudomonadaceae	genus	286	Pseudomonas	species	2604832	Pseudomonas lalkuanensis
1.1733	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	117743	Flavobacteriia	order	200644	Flavobacteriales	family	2762318	Weeksellaceae	genus	59732	Chryseobacterium	species	2754694	Chryseobacterium manosquense
1.1517	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	135623	Vibrionales	family	641	Vibrionaceae	genus	662	Vibrio	species	2479546	Vibrio zhugei
1.1444	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	117743	Flavobacteriia	order	200644	Flavobacteriales	family	49546	Flavobacteriaceae	genus	237	Flavobacterium	species	1751056	Flavobacterium ammonificans
1.1397	superkingdom	2	Bacteria	phylum	1239	Bacillota	class	186801	Clostridia	order	186802	Eubacteriales	family	186803	Lachnospiraceae	genus	2944193	Simiaoa	species	2763672	Simiaoa sunii
1.1256	superkingdom	2	Bacteria	phylum	2818505	Myxococcota	class	Polyangiales - no_c_rank	Polyangiales - no_c_rank	order	3031712	Polyangiales	family	49	Polyangiaceae	genus	50	Chondromyces	species	52	Chondromyces crocatus
1.0872	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	135619	Oceanospirillales	family	224372	Alcanivoracaceae	genus	3020833	Isoalcanivorax	species	1306787	Isoalcanivorax pacificus
1.0770	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	80864	Comamonadaceae	genus	238749	Diaphorobacter	species	164759	Diaphorobacter nitroreducens
1.0146	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	80864	Comamonadaceae	genus	2678886	Pulveribacter	species	2116657	Pulveribacter suum
0.9999	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85006	Micrococcales	family	85023	Microbacteriaceae	genus	2680004	Protaetiibacter	species	2419774	Protaetiibacter intestinalis
0.9283	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	72274	Pseudomonadales	family	135621	Pseudomonadaceae	genus	286	Pseudomonas	species	2842354	Pseudomonas maumuensis
0.9256	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	117743	Flavobacteriia	order	200644	Flavobacteriales	family	2762318	Weeksellaceae	genus	59732	Chryseobacterium	species	2929800	Chryseobacterium suipulveris
0.8709	superkingdom	2	Bacteria	phylum	200940	Thermodesulfobacteriota	class	3024408	Syntrophobacteria	order	213462	Syntrophobacterales	family	213465	Syntrophobacteraceae	genus	361106	Desulfoglaeba	species	361111	Desulfoglaeba alkanexedens
0.8663	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	32003	Nitrosomonadales	family	90627	Gallionellaceae	genus	2249462	Ferrigenium	species	1682490	Ferrigenium kumadai
0.8646	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204455	Rhodobacterales	family	2854170	Roseobacteraceae	genus	191028	Leisingera	species	506591	Leisingera caerulea
0.8509	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	206351	Neisseriales	family	2897177	Chitinibacteraceae	genus	400947	Deefgea	species	2865840	Deefgea tanakiae
0.8354	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204455	Rhodobacterales	family	31989	Paracoccaceae	genus	265	Paracoccus	species	1499308	Paracoccus mutanolyticus
0.8235	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85009	Propionibacteriales	family	2726069	Kribbellaceae	genus	182639	Kribbella	species	182640	Kribbella flavida
0.7945	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204441	Rhodospirillales	family	41295	Rhodospirillaceae	genus	1612157	Pararhodospirillum	species	1084	Pararhodospirillum photometricum
0.7777	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204457	Sphingomonadales	family	41297	Sphingomonadaceae	genus	2676781	Aquisediminimonas	species	1550733	Aquisediminimonas profunda
0.7636	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85012	Streptosporangiales	family	2004	Streptosporangiaceae	genus	83681	Nonomuraea	species	93944	Nonomuraea gerenzanensis
0.7283	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	135614	Xanthomonadales	family	32033	Xanthomonadaceae	genus	40323	Stenotrophomonas	species	1904944	Stenotrophomonas sp. LM091
0.7130	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1497346	Thermoleophilia	order	588673	Solirubrobacterales	family	2758916	Paraconexibacteraceae	genus	2758920	Paraconexibacter	species	2949664	Paraconexibacter antarcticus
0.6985	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	135614	Xanthomonadales	family	1775411	Rhodanobacteraceae	genus	70411	Frateuria	species	2898793	Frateuria edaphi
0.6982	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204455	Rhodobacterales	family	31989	Paracoccaceae	genus	1679449	Pseudooceanicola	species	1537215	Pseudooceanicola algae
0.6838	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204441	Rhodospirillales	family	433	Acetobacteraceae	genus	1706033	Sediminicoccus	species	1225128	Sediminicoccus rosea
0.6677	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85007	Mycobacteriales	family	1762	Mycobacteriaceae	genus	1866885	Mycolicibacterium	species	370526	Mycolicibacterium rutilum
0.6531	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204455	Rhodobacterales	family	31989	Paracoccaceae	genus	265	Paracoccus	species	1945662	Paracoccus contaminans
0.6477	superkingdom	2	Bacteria	phylum	1297	Deinococcota	class	188787	Deinococci	order	2762275	Trueperales	family	332247	Trueperaceae	genus	332248	Truepera	species	332249	Truepera radiovictrix
0.6422	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	117743	Flavobacteriia	order	200644	Flavobacteriales	family	49546	Flavobacteriaceae	genus	237	Flavobacterium	species	2895947	Flavobacterium cyclinae
0.6373	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	75682	Oxalobacteraceae	genus	202907	Collimonas	species	279058	Collimonas arenae
0.6322	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28211	Alphaproteobacteria	order	204455	Rhodobacterales	family	31989	Paracoccaceae	genus	265	Paracoccus	species	2259340	Paracoccus suum
0.6286	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85007	Mycobacteriales	family	1762	Mycobacteriaceae	genus	1866885	Mycolicibacterium	species	758802	Mycolicibacterium litorale
0.6238	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85006	Micrococcales	family	85023	Microbacteriaceae	genus	55968	Leucobacter	species	1935379	Leucobacter muris
0.6080	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	119060	Burkholderiaceae	genus	32008	Burkholderia	species	2615214	Burkholderia perseverans
0.6015	superkingdom	2	Bacteria	phylum	1239	Bacillota	class	186801	Clostridia	order	186802	Eubacteriales	family	31979	Clostridiaceae	genus	1485	Clostridium	species	1534	Clostridium kluyveri
0.5999	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	135614	Xanthomonadales	family	32033	Xanthomonadaceae	genus	490567	Arenimonas	species	370777	Arenimonas daejeonensis
0.5932	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	32003	Nitrosomonadales	family	2008793	Sterolibacteriaceae	genus	1054211	Sulfuritalea	species	748811	Sulfuritalea hydrogenivorans
0.5847	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	506	Alcaligenaceae	genus	152267	Pigmentiphaga	species	1940612	Pigmentiphaga aceris
0.5780	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	200643	Bacteroidia	order	171549	Bacteroidales	family	2005519	Barnesiellaceae	genus	397864	Barnesiella	species	397865	Barnesiella viscericola
0.5710	superkingdom	2	Bacteria	phylum	2818505	Myxococcota	class	32015	Myxococcia	order	29	Myxococcales	family	1524215	Anaeromyxobacteraceae	genus	161492	Anaeromyxobacter	species	161493	Anaeromyxobacter dehalogenans
0.5680	superkingdom	2	Bacteria	phylum	1239	Bacillota	class	186801	Clostridia	order	186802	Eubacteriales	family	186803	Lachnospiraceae	genus	572511	Blautia	species	2779518	Blautia liquoris
0.5595	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	Casimicrobiaceae - no_o_rank	Casimicrobiaceae - no_o_rank	family	2705999	Casimicrobiaceae	genus	2706000	Casimicrobium	species	2591109	Casimicrobium huifangae
0.5547	superkingdom	2	Bacteria	phylum	1239	Bacillota	class	91061	Bacilli	order	186826	Lactobacillales	family	1300	Streptococcaceae	genus	1301	Streptococcus	species	2781599	Streptococcus oriscaviae
0.5411	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	72274	Pseudomonadales	family	135621	Pseudomonadaceae	genus	286	Pseudomonas	species	2745514	Pseudomonas salmasensis
0.5395	superkingdom	2	Bacteria	phylum	32066	Fusobacteriota	class	203490	Fusobacteriia	order	203491	Fusobacteriales	family	203492	Fusobacteriaceae	genus	848	Fusobacterium	species	2663009	Fusobacterium pseudoperiodonticum
0.5358	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	72274	Pseudomonadales	family	135621	Pseudomonadaceae	genus	286	Pseudomonas	species	1392877	Pseudomonas oryzae
0.5328	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	80864	Comamonadaceae	genus	283	Comamonas	species	1082851	Comamonas serinivorans
0.5250	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	117743	Flavobacteriia	order	200644	Flavobacteriales	family	49546	Flavobacteriaceae	genus	237	Flavobacterium	species	1306519	Flavobacterium commune
0.4731	superkingdom	2	Bacteria	phylum	1239	Bacillota	class	186801	Clostridia	order	186802	Eubacteriales	family	31979	Clostridiaceae	genus	1485	Clostridium	species	2320868	Clostridium manihotivorum
0.4722	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	119060	Burkholderiaceae	genus	1822464	Paraburkholderia	species	2861782	Paraburkholderia edwinii
0.4648	superkingdom	2	Bacteria	phylum	142182	Gemmatimonadota	class	219685	Gemmatimonadetes	order	219686	Gemmatimonadales	family	219687	Gemmatimonadaceae	genus	173479	Gemmatimonas	species	173480	Gemmatimonas aurantiaca
