12.3144	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	117743	Flavobacteriia	order	200644	Flavobacteriales	family	2975259	Parvicellaceae	genus	2975260	Parvicella	species	2829795	Parvicella tangerina
8.9653	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	32003	Nitrosomonadales	family	206379	Nitrosomonadaceae	genus	914	Nitrosomonas	species	915	Nitrosomonas europaea
5.8061	superkingdom	2157	Archaea	phylum	28890	Euryarchaeota	class	224756	Methanomicrobia	order	2905377	Methanotrichales	family	143067	Methanotrichaceae	genus	2222	Methanothrix	species	2223	Methanothrix soehngenii
3.3803	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	91347	Enterobacterales	family	543	Enterobacteriaceae	genus	561	Escherichia	species	562	Escherichia coli
2.9212	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	28216	Betaproteobacteria	order	80840	Burkholderiales	family	80864	Comamonadaceae	genus	283	Comamonas	species	285	Comamonas testosteroni
2.8920	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	200643	Bacteroidia	order	171549	Bacteroidales	family	815	Bacteroidaceae	genus	816	Bacteroides	species	817	Bacteroides fragilis
2.5845	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	72274	Pseudomonadales	family	135621	Pseudomonadaceae	genus	286	Pseudomonas	species	287	Pseudomonas aeruginosa
2.4852	superkingdom	2	Bacteria	phylum	976	Bacteroidota	class	117743	Flavobacteriia	order	200644	Flavobacteriales	family	49546	Flavobacteriaceae	genus	237	Flavobacterium	species	986	Flavobacterium johnsoniae
2.4089	superkingdom	2	Bacteria	phylum	1239	Bacillota	class	91061	Bacilli	order	186826	Lactobacillales	family	81852	Enterococcaceae	genus	1350	Enterococcus	species	1351	Enterococcus faecalis
2.3548	superkingdom	2	Bacteria	phylum	1224	Pseudomonadota	class	1236	Gammaproteobacteria	order	91347	Enterobacterales	family	543	Enterobacteriaceae	genus	570	Klebsiella	species	573	Klebsiella pneumoniae
2.2040	superkingdom	2	Bacteria	phylum	201174	Actinomycetota	class	1760	Actinomycetes	order	85004	Bifidobacteriales	family	31953	Bifidobacteriaceae	genus	1678	Bifidobacterium	species	216816	Bifidobacterium longum
2.0250	superkingdom	2157	Archaea	phylum	651137	Nitrososphaerota	class	1643678	Nitrososphaeria	order	1033996	Nitrososphaerales	family	1033997	Nitrososphaeraceae	genus	497726	Nitrososphaera	species	1034015	Nitrososphaera viennensis
2.0148	superkingdom	2157	Archaea	phylum	28890	Euryarchaeota	class	224756	Methanomicrobia	order	2191	Methanomicrobiales	family	196137	Methanospirillaceae	genus	2202	Methanospirillum	species	2203	Methanospirillum hungatei
